cfg,latency,energy
/data/EN-B5-C.yaml,26674.0,440398.4096
/data/EN-B5-CG.yaml,24583.0,402025.4654
/data/EN-B5-G.yaml,32156.0,500498.4932
/data/EN-L4-C.yaml,16264.0,224493.6184
/data/EN-L4-CG.yaml,14114.0,215069.132
/data/EN-L4-G.yaml,18497.0,262370.6965
/data/R-34-C.yaml,21692.0,302423.35640000005
/data/R-34-CG.yaml,15315.0,35707.075650000006
/data/R-34-G.yaml,36517.0,119527.4444
/data/R-50-C.yaml,28825.0,37989.044
/data/R-50-CG.yaml,25020.0,58657.6386
/data/R-50-G.yaml,37406.0,563311.9164
/data/RX-1.6-C.yaml,27450.0,383814.135
/data/RX-1.6-CG.yaml,20531.0,290550.6058
/data/RX-1.6-G.yaml,45078.0,634441.2954
/data/RX-4-C.yaml,37060.0,517709.67
/data/RX-4-CG.yaml,31690.0,456044.452
/data/RX-4-G.yaml,74512.0,184721.20896
/data/EN-B5-CD.yaml,20120.0,287907.14
/data/EN-B5-D.yaml,29782.0,542860.3396
/data/EN-L4-CD.yaml,10995.0,172801.818
/data/EN-L4-D.yaml,16283.0,219478.557
/data/R-34-CD.yaml,13255.0,208730.46149999998
/data/R-34-D.yaml,24377.0,357608.1523
/data/R-50-CD.yaml,23191.0,331932.783
/data/R-50-D.yaml,30399.0,482675.322
/data/RX-1.6-CD.yaml,16999.0,252467.4481
/data/RX-1.6-D.yaml,32626.0,513122.15239999996
/data/RX-4-CD.yaml,24971.0,361023.2267
/data/RX-4-D.yaml,48878.0,682654.5869999999
